COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"CHE,LIV",1.3,4,1.3,0.8,2.3,1.3,2.3,1.3,1.8,1.8,1.3,1.3,2.9,1.3,0.8,25.8,2.58,0.853731306,2.202626769
"ARS,LEE",1.4,0.8,1.8,1.4,3,1.8,3,1.3,1.9,2.3,3.5,1.9,1.3,2.4,1.8,29.6,2.96,0.7449512608,2.205055732
"AVL,TOT",1.9,1.5,1.4,4.1,2.5,1.5,1.4,1.4,1.5,3,1.5,1.4,2,1.5,1,27.6,2.76,0.8007139671,2.209970549
"BHA,EVE",3.6,1,1.5,1.5,1.4,0.9,2,1.9,1.5,1.5,2.5,3.5,1.4,1.4,2,27.6,2.76,0.8007139671,2.209970549
"CRY,MCI",2.5,3.4,1.9,1.8,1.4,1.4,1.8,1.4,2.4,1.4,0.8,3,0.8,2.8,1.3,28.1,2.81,0.7869168287,2.211236289
"CHE,WBA",1.8,2.5,1.3,0.8,2,2,1.5,1.3,1.8,1.5,1,2,3.5,1.5,3.5,28,2.8,0.7898161329,2.211485172
"AVL,WHU",1.5,1.5,1.5,3.6,3.6,1.5,2.5,1,1.5,1.5,1.5,2,1,1.5,1,26.7,2.67,0.829974182,2.216031066
"BHA,NEW",3,1.5,3.6,2,1.4,0.9,2,1.9,1.9,1.5,2,1,1.4,1,3,28.1,2.81,0.7914423241,2.223952931
"SOU,WBA",1.4,2.5,2.4,0.9,2,1.9,1.5,1.4,3.5,1.5,1,1.4,3.5,1.5,1.4,27.8,2.78,0.8016649342,2.228628517
"EVE,WBA",3.1,1,1.5,1.5,2,2,1.5,3.1,1.5,1.5,1,2,3.6,1.5,2,28.8,2.88,0.7738586065,2.228712787
"BUR,SOU",1.4,3,2.4,0.9,1.4,1.9,1.9,1.4,0.9,3.6,1.9,1.4,1.9,3,1.4,28.4,2.84,0.7932452932,2.252816633
"CHE,NEW",1.8,1.5,1.3,0.8,2.5,3.6,2,1.3,1.8,1.5,1.3,1,2,1,3.5,26.9,2.69,0.8413141648,2.263135103
"BHA,WBA",3.1,1.9,3.6,2.4,1.4,0.9,1.5,1.9,1.9,1.5,1,2,1.4,1.4,3,28.9,2.89,0.7869168287,2.274189635
"BHA,LEE",3.6,0.8,1.8,2.4,1.4,0.9,3,1.3,1.9,2.3,2.5,2.5,1.3,1.4,1.8,28.9,2.89,0.7869168287,2.274189635
"NEW,SOU",1.4,1.5,2.4,0.9,3.7,1.9,1.9,1.4,3.5,1.5,1.9,1,2,1,1.4,27.4,2.74,0.8310635756,2.277114197
"EVE,WOL",1.8,1,1.5,0.8,1.8,1.3,0.8,3.5,1.5,1.5,2.5,1.3,3.5,2.3,2,27.1,2.71,0.8438573565,2.286853436
"CHE,SOU",1.4,3,1.3,0.8,2.5,1.9,1.9,1.3,1.8,3,1.3,1.4,3.5,2.5,1.4,29,2.9,0.7898161329,2.290466785
"EVE,WHU",1.5,1,1.5,1.5,3.6,3,2,1,1.5,1.5,2.5,2,1,3.1,1.5,28.2,2.82,0.8152125052,2.298899265
"MUN,WBA",3.1,0.8,1.8,3,1.8,2,1.5,2.3,0.8,1.5,1,2,1.8,1.3,3.5,28.2,2.82,0.8160882305,2.30136881
"ARS,TOT",1.4,2.5,1.4,1.4,2.5,2.4,1.4,1.4,1.9,3,3,1.4,2.5,2.4,3.5,32.1,3.21,0.7169379332,2.301370765
"BHA,WOL",1.8,1.9,3,0.8,1.4,0.9,0.8,1.9,1.9,3.5,2.5,1.3,1.4,1.4,3,27.5,2.75,0.8372289896,2.302379721
"FUL,WHU",1.5,2,1.5,3.6,2,1,1,1,2,1.5,3.7,2,1,2,1.5,27.3,2.73,0.8436316055,2.303114283
"LEI,MUN",1.3,0.8,1.8,2.5,1.3,3.5,1.8,2.3,0.8,0.8,1.8,1.3,1.8,1.3,3.5,26.6,2.66,0.8664102185,2.304651181
"AVL,CRY",2.5,1.5,1.5,4.1,1.4,1.4,2.5,1.4,1.5,1.4,1.4,3,2,1.5,1,28.1,2.81,0.8224238277,2.311010956
"BHA,SHU",3,1.8,1.3,2.4,0.8,0.9,3.5,1.9,1.9,1.3,2.5,3,1.4,1.4,1.8,28.9,2.89,0.8030892733,2.320928
"CRY,LIV",1.3,4,1.9,1.8,1.4,1.3,2.8,1.4,2.4,1.4,1.4,1.3,2.9,1.3,0.8,27.4,2.74,0.8472364037,2.321427746
"ARS,BUR",1.4,2.5,2.5,1.4,1.4,3,3.6,1.4,0.9,3,1.9,1.9,1.9,2.4,1.9,31.1,3.11,0.7478222351,2.325727151
"BHA,TOT",1.9,1.9,1.4,2.4,1.4,0.9,1.4,1.4,1.9,4.1,2.5,1.4,1.4,1.4,3,28.4,2.84,0.8198141485,2.328272182
"MCI,WHU",1.5,3.4,2.9,1.8,2.9,2.3,1.8,1,2,1.5,0.8,2,0.8,2.8,1.3,28.8,2.88,0.8090558872,2.330080955
"BUR,WOL",1.8,3.5,2.5,0.8,1.4,1.3,0.8,1.9,0.9,3.5,1.9,1.3,1.9,2.3,1.9,27.7,2.77,0.84504156,2.340765121
"EVE,LEE",3.6,0.8,1.5,1.5,3,1.8,2,1.3,1.5,1.5,2.5,2.5,1.3,3.1,1.8,29.7,2.97,0.7912016178,2.349868805
"NEW,TOT",1.9,1.5,1.4,2,2.5,2.4,1.4,1.4,3.7,1.5,2,1,2,1,3.5,29.2,2.92,0.8061076379,2.353834303
"CRY,WOL",1.8,4.1,1.9,0.8,1.4,1.3,0.8,1.4,2.4,1.4,1.4,1.3,3,2.3,1.9,27.2,2.72,0.8659154253,2.355289957
"ARS,WBA",1.4,2.5,3.7,1.4,2,2,1.5,1.4,1.9,1.5,1,1.9,2.5,1.5,3.6,29.8,2.98,0.7927048331,2.362260403
"NEW,SHU",3,1.5,1.3,2,0.8,3.6,2,3,2.5,1.3,2,1,2,1,1.8,28.8,2.88,0.8204528366,2.36290417
"BUR,CHE",1.8,3.5,1.3,0.8,1.4,3,2.3,1.3,0.9,3,1.3,2.3,1.9,2.5,1.9,29.2,2.92,0.8096442487,2.364161206
"LEI,MCI",1.3,1.8,2.9,1.8,1.3,2.3,1.8,3,3.4,0.8,0.8,1.3,0.8,2.8,1.3,27.4,2.74,0.863933419,2.367177568
"MCI,SOU",1.4,3,2.4,0.9,2.9,1.9,1.8,1.4,3.4,1.8,0.8,1.4,0.8,2.8,1.3,28,2.8,0.8474050024,2.372734007
"EVE,FUL",3.1,1,1.5,1.5,2,1,1,3,1.5,1.5,2.5,3.7,1.5,2,2,28.8,2.88,0.8239278748,2.372912279
"LIV,WHU",1.3,3.6,2.9,1.8,2.3,1.3,2.8,1,2,1.5,2.9,1.3,1,1.3,0.8,27.8,2.78,0.8567935796,2.381886151
"CHE,CRY",1.8,4.1,1.3,0.8,1.4,1.4,2.3,1.3,1.8,1.4,1.3,2.3,3,2.5,1.9,28.6,2.86,0.8362045774,2.391545091
"BHA,MCI",3.6,1.9,2.9,1.8,1.4,0.9,1.8,1.9,1.9,1.8,0.8,3.5,0.8,1.4,1.3,27.7,2.77,0.874942175,2.423589825
"MUN,WHU",1.5,0.8,1.8,3,1.8,3.5,3,1,0.8,1.5,3,2,1,1.3,1.5,27.5,2.75,0.8877472828,2.441305028
"ARS,CHE",1.4,2.5,1.3,0.8,2.5,3,2.3,1.3,1.8,3,1.3,1.9,2.5,2.4,3.5,31.5,3.15,0.7755182599,2.442882519
"BUR,SHU",3,1.8,1.3,1.9,0.8,3,3.6,1.9,0.9,1.3,1.9,3,1.9,1.8,1.8,29.9,2.99,0.8171961355,2.443416445
"SHU,TOT",1.9,1.8,1.3,3.5,0.8,2.4,1.4,1.4,2.5,1.3,3,1.4,3.5,1.8,1.8,29.8,2.98,0.8253714892,2.459607038
