COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"CHE,LIV,MCI,MUN",8.1,8.2,6,4.4,6.6,7.1,6.9,8.1,5.5,6.6,5,7.6,5.5,5.1,5.6,96.3,2.14,1.234735368,2.642333687
"BUR,LEI,SHU,SOU",5.7,6.6,6.2,5.3,3.5,8.4,7.3,6.3,6.9,5.7,5.6,5.7,7.2,8.3,5.1,93.8,2.084444444,1.267656255,2.642359038
"FUL,SHU,SOU,WBA",7.5,6.3,5.2,7.4,4.8,4.9,4.4,7.5,8,6.4,5.9,6.4,8.5,5.3,5.7,94.2,2.093333333,1.264459229,2.646934654
"ARS,MCI,MUN,SOU",7.8,6.3,7.1,4.1,8.8,7.2,6.7,5.1,6.1,7.8,5.7,7.3,5.1,6.5,6.2,97.8,2.173333333,1.219015997,2.649328099
"EVE,FUL,SOU,WBA",7.6,5.5,5.4,5.4,8.1,4.9,4.4,7.5,7,6.6,5.4,7.1,8.6,6.6,5.9,96,2.133333333,1.242692928,2.651078247
"EVE,LEE,LEI,LIV",6.2,3.6,6.2,5.8,6.6,6.1,6.6,8,7.4,4.1,7.2,5.1,6,7.9,4.6,91.4,2.031111111,1.305738251,2.65209947
"BHA,MUN,SOU,WBA",8.1,5.2,7.8,6.3,5.2,4.8,6.4,5.6,6.2,8.1,5.4,6.9,6.7,4.2,7.9,94.8,2.106666667,1.259364919,2.653062097
"FUL,LIV,MUN,WBA",7.5,5.3,6.2,7.8,5.8,4.3,5.3,8.4,5.7,6.3,6.9,7.8,6.2,4.1,6.8,94.4,2.097777778,1.265739009,2.655239165
"BHA,LEE,LEI,LIV",6.2,4.5,8.3,6.7,5,4,7.6,6.2,7.8,4.9,7.2,5.1,4.5,6.2,5.6,89.8,1.995555556,1.331415287,2.656913173
"ARS,BUR,EVE,LIV",6.3,7,6.9,4.7,8.2,7.3,8.4,7,4.3,6.3,7.3,6.7,7.3,6.7,4.7,99.1,2.202222222,1.206806096,2.657655202
"MUN,NEW,SHU,SOU",7.4,4.1,5.5,5.9,6.3,9,6.9,6.7,6.8,5.8,6.9,5.4,7.3,4.1,6.7,94.8,2.106666667,1.26276341,2.660221583
"CRY,EVE,FUL,LIV",6.9,7,4.9,6.9,5.7,3.7,5.8,8.1,5.9,4.7,6.8,8,7.4,6.4,4.7,92.9,2.064444444,1.288668564,2.660384657
"BUR,FUL,LEI,SHU",7.4,5.6,5.3,7.9,3.5,7.5,6.4,7.9,5.4,5.7,6.7,7.8,5.2,6.8,6.2,95.3,2.117777778,1.256904739,2.661844926
"ARS,CRY,MCI,NEW",6.9,7.4,8.4,5.2,8,6.7,7.3,5.8,7.7,4.7,4.2,5.9,5.3,6.2,6.8,96.5,2.144444444,1.241351031,2.662008321
"ARS,FUL,MCI,NEW",7.5,6,8,5.2,8.6,6.3,4.8,7.4,7.3,6.3,6.3,6.9,4.3,5.4,7.4,97.7,2.171111111,1.226997885,2.663948741
"AVL,CHE,SHU,SOU",6.2,6.3,4.1,5.2,6.9,7.4,6.7,6.3,5.8,7.3,4.7,6.7,9,5.8,4.2,92.6,2.057777778,1.294751309,2.664310472
"CHE,CRY,EVE,FUL",7.4,7.1,4.3,5.9,5.9,5.4,5.3,5.7,5.3,5.9,5.2,9,8,7.6,6.4,94.4,2.097777778,1.270245571,2.66469293
"ARS,CRY,LEE,WBA",7,5.8,7.4,8.5,6.4,5.2,8,4.1,7.3,5.2,5.9,6.4,6.8,7.9,7.3,99.2,2.204444444,1.208816816,2.664769515
"BUR,NEW,SHU,WOL",7.8,6.8,6.8,4.7,4,7.9,6.4,8.4,5.9,6.3,6.9,5.3,7.4,5.1,6.7,96.4,2.142222222,1.244109932,2.665159944
"BHA,EVE,NEW,SOU",8,4.4,7.5,4.4,9.2,5.8,5.9,6.3,6.9,6.6,6.4,5.9,6.9,5.5,6.4,96.1,2.135555556,1.248694556,2.666656597
"EVE,FUL,LIV,WHU",5.9,6.6,5.9,6.9,7.9,5.3,5.8,7.7,5.5,4.8,9.1,7,5.4,6.4,4.3,94.5,2.1,1.269983127,2.666964567
"AVL,BUR,LEI,NEW",9.3,4.8,7.6,6.4,6.3,8,6.3,7.9,6.1,5.3,5.2,5.8,5.7,5.5,6.4,96.6,2.146666667,1.242577965,2.667400699
"LIV,MUN,NEW,TOT",6.2,5.3,6.1,6.8,6.6,7.2,6.2,6.7,7.4,6.3,7.9,3.7,6.7,3.6,7.8,94.5,2.1,1.27054544,2.668145423
"LEI,MUN,SOU,WOL",4.5,5.6,7.2,4.2,4.9,6.7,4.5,6.7,6.8,7.3,6.7,4,7.1,7.1,7.9,91.2,2.026666667,1.317031294,2.669183422
"AVL,FUL,LEI,WHU",5.9,5.3,6.1,9.7,6.9,6,5.3,7,5.5,5.3,7,6.9,4.3,7,5,93.2,2.071111111,1.288890257,2.669434933
"AVL,CHE,SHU,TOT",6.7,6.3,4,8.4,5.8,7.9,6.2,6.3,5.8,7.3,5.8,6.7,9,5.8,6.3,98.3,2.184444444,1.222331885,2.670116096
"ARS,AVL,WBA,WOL",6.3,6.5,8.2,5.2,7.4,4.8,4.8,8,5.9,7.5,6,5.2,8,5.3,7.6,96.7,2.148888889,1.242616288,2.670244333
"BHA,CHE,LIV,WBA",6.2,8.4,7.8,5,5.7,4.2,6.6,6.3,6.6,6.3,4.8,5.6,7.8,4.2,7.3,92.8,2.062222222,1.29607466,2.672793965
"AVL,CHE,LIV,MUN",8.1,6.3,4.6,5.6,6.6,6.3,7.6,7.2,4.1,7.8,5.7,7.2,6.7,4.1,5.3,93.2,2.071111111,1.291658218,2.675167687
"CHE,FUL,MCI,NEW",7.9,6.9,5.7,4.6,7.4,6.9,4.8,7.3,7.2,6.3,4.1,7.3,4.3,5.5,7.3,93.5,2.077777778,1.28767047,2.675493087
"EVE,FUL,LIV,TOT",6.3,6,4.4,6.9,6.8,4.7,4.4,8.1,6.4,6.9,8.4,6.4,8,6.3,5.3,95.3,2.117777778,1.263705813,2.676248088
"ARS,AVL,WBA,WHU",6,6.5,8.3,8,9.2,6.5,8.1,5.5,5.4,6,6,5.9,5.5,5.4,6.1,98.4,2.186666667,1.224044817,2.676578
"CHE,LIV,MUN,SOU",4.5,7.8,5.5,3.5,6.6,6.7,7,5,5.5,7.8,6.1,5,8.2,5.1,5.7,90,2,1.338442592,2.676885184
"CHE,FUL,NEW,SOU",6.2,6.5,5.2,3.7,8.2,6.5,4.9,5.7,7.3,8.1,5.2,4.7,7,5.5,7.4,92.1,2.046666667,1.308106592,2.677258159
"ARS,FUL,LIV,MUN",5.8,5.3,6.2,6.2,6.1,5.3,6.8,6.7,4.7,7.8,9.4,7.7,5.8,4.6,6.8,95.2,2.115555556,1.266528815,2.67941207
"BHA,FUL,LEI,WHU",5.9,5.7,8.2,8.5,4.7,5.4,6.3,5.9,5.9,5.9,8,6.8,3.9,6.9,7,95,2.111111111,1.269232989,2.679491866
"BUR,EVE,WHU,WOL",6.9,8.1,7,4.2,6.8,7.3,6.4,6.4,4.4,6.5,8.1,6.8,6.4,8.4,5.4,99.1,2.202222222,1.216826474,2.679722301
"BHA,CRY,EVE,LEI",7.4,4.7,7,6.4,4.1,5.3,7.3,6.3,5.8,3.7,5.7,7.8,6.2,8,6.9,92.6,2.057777778,1.3024519,2.680156577
"AVL,LEI,SOU,WBA",5.8,5.8,7.6,6.4,6.9,5.4,5.2,7.5,9.2,5.3,4.3,4.7,7.3,6.5,5.9,93.8,2.084444444,1.286116339,2.680838058
"BHA,MUN,SOU,WHU",6.5,5.7,7.3,6.3,6.8,6.3,8.4,4.3,4.7,8.1,7.4,6.9,4.2,6.9,5.9,95.7,2.126666667,1.261065309,2.681865558
