COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"ARS,CRY,NEW",3.9,4,5.5,3.4,5.1,4.4,5.5,2.8,4.3,2.9,41.8,4.18,0.9807026959,4.099337269
"ARS,CHE,FUL",3.2,4.5,2.8,2.2,4.5,4,3.3,2.7,3.7,6,36.9,3.69,1.112005196,4.103299173
"CHE,CRY,FUL",4.3,6.1,2.8,4.4,3.4,2.4,3.3,2.7,3.8,4.4,37.6,3.76,1.096661601,4.123447619
"BUR,FUL,NEW",6.1,3.5,4,3.9,3.4,4,3,4.9,2.9,5.1,40.8,4.08,1.010830242,4.124187387
"FUL,LIV,WHU",2.8,5.6,4.4,5.4,4.3,2.3,3.8,4,4,3.3,39.9,3.99,1.034354334,4.127073794
"ARS,FUL,LEI",2.7,3.8,6.5,3.9,3.3,4,2.8,4.4,3.9,3.8,39.1,3.91,1.056671924,4.131587224
"CHE,CRY,LEI",3.1,5.9,3.2,3.3,2.7,4.9,4.1,2.7,4.2,2.2,36.3,3.63,1.138273547,4.131932974
"BHA,CRY,SOU",3.9,4.9,4.3,3.3,2.8,2.3,5.4,2.8,4.3,5,39,3.9,1.060398248,4.135553167
"MCI,SHU,SOU",4.4,4.8,3.7,2.7,3.7,4.2,3.7,5.4,5.9,3.1,41.6,4.16,0.9957688264,4.142398318
"CRY,EVE,WHU",4,4.6,3.4,5.1,5,4.4,5.5,2.4,3.5,2.9,40.8,4.08,1.016311413,4.146550566
"MUN,NEW,WOL",4.8,2.3,4.8,2.8,3.6,4.8,2.8,5.3,3.3,4.5,39,3.9,1.063537076,4.147794595
"CHE,SHU,WBA",4.8,4.3,2.6,3.8,2.8,6,3.8,4.4,4.3,2.8,39.6,3.96,1.047960983,4.149925493
"BUR,FUL,WHU",4.6,5.5,4,5.5,3.4,4,4.6,2.9,2.9,5.1,42.5,4.25,0.9766723549,4.150857508
"FUL,LIV,NEW",4.3,3.5,4.4,3.8,4.3,2.3,3,6,4.9,3.3,39.8,3.98,1.044349878,4.156512513
"CHE,NEW,WBA",4.8,4,4.9,2.8,4.5,5.6,3.5,4.3,5.5,3,42.9,4.29,0.9689054535,4.156604395
"ARS,SHU,TOT",3.3,4.3,2.7,4.9,3.3,5.4,5.5,2.8,4.4,4.3,40.9,4.09,1.021382505,4.177454447
"CHE,MCI,WBA",4.9,5.9,4.2,2.6,4.5,4.3,3.3,4.4,5.2,3.3,42.6,4.26,0.981155781,4.179723627
"BUR,CRY,NEW",5.5,5,4.4,3.9,2.8,4.4,5.5,3.3,3.3,2.9,41,4.1,1.019803903,4.181196001
"CRY,NEW,WOL",4.3,5.6,4.9,2.8,3.2,2.7,2.8,4.4,4.9,2.9,38.5,3.85,1.086533734,4.183154877
"CRY,FUL,NEW",5.5,3.5,3.4,5.6,3.4,2.4,3,4.4,4.4,2.9,38.5,3.85,1.087555873,4.187090113
"LIV,MUN,WOL",3.1,4.8,4.7,2.6,3.6,2.6,3.6,5.8,3.3,4.8,38.9,3.89,1.076465409,4.187450443
"BUR,FUL,LIV",4.4,5.5,4,3.7,3.4,2.3,3.8,4.9,2.9,5.4,40.3,4.03,1.041419971,4.196922482
"ARS,FUL,WHU",2.9,4.5,4.6,5,5.6,4,5.1,2.4,3.9,4.5,42.5,4.25,0.9879833557,4.198929262
"ARS,CRY,EVE",3.9,3.5,3.4,2.9,5.9,4.4,5.5,2.8,3.4,2.9,38.6,3.86,1.088526017,4.201710424
"BHA,FUL,LEI",4.4,3.7,5.1,4.9,2.7,1.9,2.8,4.9,3.9,4.4,38.7,3.87,1.086329191,4.204093969
"AVL,CHE,FUL",4.9,3.5,2.8,4.4,4.5,2.5,3.3,4.3,3.3,6,39.5,3.95,1.06484219,4.206126649
"AVL,LEI,WOL",3.1,3.3,4.5,3.3,3.1,2.8,2.6,6.5,4,3.8,37,3.7,1.137248141,4.20781812
"EVE,LEE,WOL",5.4,1.8,3.3,2.3,4.8,3.1,2.8,4.8,4,3.8,36.1,3.61,1.165666238,4.208055118
"BHA,LEI,MUN",4.9,2.6,5.4,4.9,2.7,4.4,4.8,4.2,2.7,3.8,40.4,4.04,1.042646206,4.212290673
