COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"EVE,LIV,SHU,SOU,TOT",7.6,8.8,6.6,7.7,9.7,8.6,8.1,10.5,10.4,8.2,86.2,2.155,1.261216344,2.717921222
"ARS,FUL,LEE,WHU,WOL",7.8,8.9,9.4,9.4,10.4,7.1,8.9,6.7,8.4,10.3,87.3,2.1825,1.245480719,2.71826167
"CHE,LEE,MUN,WBA,WOL",11.7,8.6,7.9,7.6,8.1,8.6,7.6,8,8.1,9.8,86,2.15,1.264911064,2.719558788
"ARS,FUL,LEI,LIV,MUN",7.1,7.1,11.2,8.7,7.4,8.8,8.6,9.7,7.6,8.6,84.8,2.12,1.283051917,2.720070064
"BHA,EVE,LEI,SOU,WHU",7.8,7.7,10.6,7.3,10.4,9.3,9.2,7.3,8.9,7.4,85.9,2.1475,1.267061342,2.721014232
"BHA,CRY,EVE,SHU,SOU",10.5,7.7,7.1,8.3,7.7,7.2,10.9,8.4,8.3,7.8,83.9,2.0975,1.297390543,2.721276665
"ARS,CHE,CRY,EVE,WBA",8.8,10.1,8.4,6.7,10.4,9.4,9.3,7.2,7.6,7.4,85.3,2.1325,1.276322843,2.721758463
"CHE,CRY,MUN,NEW,SOU",8.7,9.4,7.4,6.7,9.4,10.4,9.2,6.4,8.5,8.9,85,2.125,1.281492186,2.723170895
"BUR,CHE,FUL,LIV,NEW",9.2,11,8.2,6.5,8.2,8.9,8.1,9.2,7.6,9.9,86.8,2.17,1.255034307,2.723424446
"CRY,MUN,NEW,WBA,WOL",10.4,8.9,10.3,8.8,7,8.2,7.3,9.8,9.4,7.4,87.5,2.1875,1.245659129,2.724879346
"CHE,FUL,LEE,NEW,WOL",9.7,8.8,7.6,7.2,9.3,7.7,6.1,8.6,9.3,10.3,84.6,2.115,1.288582339,2.725351647
"LEE,LEI,SHU,SOU,WOL",7.5,7.4,8.5,7.7,6.9,8.5,7.5,9.2,11.5,7.9,82.6,2.065,1.320101006,2.726008578
"AVL,BUR,CHE,LEI,LIV",9.4,10.8,8.2,7,7.5,9.3,9.4,9.8,7.1,8.6,87.1,2.1775,1.252064961,2.726371453
"BHA,CHE,EVE,LEI,WBA",9.8,7.2,10.1,7.2,7.2,9.4,7.6,9.3,9.4,6.8,84,2.1,1.298717316,2.727306363
"CHE,MUN,SHU,SOU,WBA",9.3,8.1,6.8,7.7,7.1,11.4,8.7,8.1,8.6,8.8,84.6,2.115,1.290305735,2.728996629
"BUR,EVE,LEI,SOU,WBA",9.4,8.3,10.1,6.8,8.8,9.9,7.2,9.4,10.1,7.4,87.4,2.185,1.249177507,2.729452853
"CHE,FUL,MUN,WBA,WHU",9.5,8.9,7.7,10.4,8.3,10.5,7.8,7.6,6.6,9,86.3,2.1575,1.266710526,2.732927959
"EVE,LEI,LIV,MUN,SOU",7.6,6.6,8.6,6.7,9.5,9.7,8.5,10.4,8.7,7.1,83.4,2.085,1.310809758,2.733038346
"CRY,EVE,FUL,SOU,WBA",10.1,8.5,7.3,9,9.5,6.3,6.4,8.9,9.4,8,83.4,2.085,1.310809758,2.733038346
"EVE,FUL,MUN,WHU,WOL",10,7.4,7.8,8.9,9.2,8.8,6.8,9.8,6.3,9.5,84.5,2.1125,1.294647099,2.734941997
"CHE,FUL,NEW,SHU,SOU",9.2,8.3,6.5,7.2,9,10.5,7.2,8.7,9.8,9.4,85.8,2.145,1.275234183,2.735377323
"BUR,CRY,EVE,FUL,LEI",10.5,8.3,7.4,9.5,6.1,8.4,8.3,9.3,6.8,7.3,81.9,2.0475,1.33620524,2.73588023
"EVE,LEI,LIV,MUN,TOT",8.1,6.6,7.6,8.8,7.9,10.2,8,10.4,9.7,7.1,84.4,2.11,1.297176421,2.737042248
"BUR,FUL,LEI,LIV,NEW",8.7,8.8,10.5,8.2,7,8.8,7.6,10.9,9.5,7.7,87.7,2.1925,1.249044079,2.738529143
"AVL,CHE,CRY,FUL,LEI",8.7,9.4,6.2,11,7.2,7.4,7.6,8.7,7.7,8.2,82.1,2.0525,1.33454112,2.739145648
"BUR,CHE,FUL,LEE,LEI",11.2,8.1,7.1,8.8,7.2,9.3,8.1,7.5,7.7,9.7,84.7,2.1175,1.293616807,2.73923359
